id1,name1,id2,name2,count
1816,松たか子,385,役所広司,2
1816,松たか子,2044,木村拓哉,2
1816,松たか子,2427,阿部サダヲ,2
1816,松たか子,1817,吉岡秀隆,2
25682,広瀬すず,8879,福山雅治,2
25682,広瀬すず,385,役所広司,2
25682,広瀬すず,26094,真剣佑,2
4079,柄本佑,4263,木村文乃,2
4263,木村文乃,732,岡田准一,2
4263,木村文乃,6437,桐谷健太,2
11836,沢城みゆき,22997,咲野俊介,2
11836,沢城みゆき,22455,檀臣幸,2
11836,沢城みゆき,18994,潘めぐみ,2
11836,沢城みゆき,8652,伊瀬茉莉也,2
22252,栗田貫一,23502,小林清志,2
2323,山寺宏一,6516,野沢雅子,2
2323,山寺宏一,411,西田敏行,2
21304,細谷佳正,28048,のん,2
21304,細谷佳正,28049,尾身美詞,2
1368,吉行和子,413,浅田美代子,2
18952,野村周平,22717,平祐奈,2
18952,野村周平,25036,黒島結菜,2
18952,野村周平,26094,真剣佑,2
3878,渡辺真起子,586,中村優子,2
16021,寿美菜子,19879,悠木碧,2
16021,寿美菜子,20670,生天目仁美,2
16021,寿美菜子,20671,渕上舞,2
3371,佐々木蔵之介,7652,伊原剛志,2
3371,佐々木蔵之介,946,深田恭子,2
3371,佐々木蔵之介,5277,長澤まさみ,2
3371,佐々木蔵之介,699,常盤貴子,2
12519,木村良平,98,下野紘,2
12519,木村良平,13630,玉川紗己子,2
22965,安野希世乃,33739,成瀬瑛美,2
22965,安野希世乃,33740,小原好美,2
16384,二階堂ふみ,22013,吉沢亮,2
16384,二階堂ふみ,3557,高良健吾,2
16384,二階堂ふみ,17744,長谷川博己,2
1651,稲垣吾郎,6331,渋川清彦,2
1812,玉木宏,2113,上野樹里,2
22739,小松未可子,22965,安野希世乃,2
22739,小松未可子,33739,成瀬瑛美,2
22739,小松未可子,33740,小原好美,2
27712,上坂すみれ,28216,原由実,2
33739,成瀬瑛美,33740,小原好美,2
10,岡村明美,17198,矢尾一樹,2
10,岡村明美,17199,チョー,2
11,中井和哉,22455,檀臣幸,2
11,中井和哉,17198,矢尾一樹,2
11,中井和哉,17199,チョー,2
1243,天海祐希,385,役所広司,2
2016,根岸季衣,585,水橋研二,2
2016,根岸季衣,861,田口トモロヲ,2
26394,花影香音,33407,搗宮姫奈,2
20128,岡本信彦,24002,山下大輝,2
20391,早乙女太一,2291,松山ケンイチ,2
20391,早乙女太一,7873,堺雅人,2
17504,佐倉綾音,30333,村川梨衣,2
17504,佐倉綾音,25027,種田梨沙,2
1147,笑福亭鶴瓶,2991,吉永小百合,2
25676,玉城ティナ,27322,飯豊まりえ,2
31481,真魚,31482,しゅはまはるみ,2
14962,福山潤,21877,内田真礼,2
14962,福山潤,20128,岡本信彦,2
14962,福山潤,21304,細谷佳正,2
12358,名塚佳織,12962,小清水亜美,2
165,中井貴一,3371,佐々木蔵之介,2
165,中井貴一,71,広末涼子,2
165,中井貴一,797,野村萬斎,2
165,中井貴一,166,佐藤浩市,2
21394,松田健一郎,22455,檀臣幸,2
17408,有村架純,25415,坂口健太郎,2
17408,有村架純,7218,佐藤健,2
17408,有村架純,5620,豊川悦司,2
7218,佐藤健,7760,中村優一,2
7218,佐藤健,9862,関俊彦,2
7218,佐藤健,9864,遊佐浩二,2
7218,佐藤健,9872,てらそままさき,2
14467,鈴木亮平,732,岡田准一,2
14467,鈴木亮平,21068,清水富美加,2
14467,鈴木亮平,6963,綾野剛,2
14467,鈴木亮平,15045,ムロツヨシ,2
1544,柴咲コウ,798,伊藤英明,2
732,岡田准一,733,櫻井翔,2
732,岡田准一,734,酒井若菜,2
36,石原さとみ,37,浅野忠信,2
4760,堤真一,5387,妻夫木聡,2
4760,堤真一,732,岡田准一,2
4761,リリー・フランキー,5146,ピエール瀧,2
1137,ともさかりえ,1139,蒼井優,2
12059,桐山漣,2868,豊原功補,2
12059,桐山漣,5740,やべきょうすけ,2
12059,桐山漣,13976,菅田将暉,2
12059,桐山漣,3413,吉川晃司,2
1543,市川実日子,1867,小林聡美,2
2814,池松壮亮,860,寺島しのぶ,2
1104,光石研,3557,高良健吾,2
1104,光石研,603,大森南朋,2
3743,仲里依紗,8777,佐藤二朗,2
23722,北香那,28236,浅川梨奈,2
23722,北香那,4834,和田聰宏,2
23722,北香那,4903,三津谷葉子,2
28236,浅川梨奈,4834,和田聰宏,2
28236,浅川梨奈,4903,三津谷葉子,2
4834,和田聰宏,4903,三津谷葉子,2
142,三浦友和,411,西田敏行,2
142,三浦友和,2560,田中泯,2
142,三浦友和,4760,堤真一,2
142,三浦友和,630,ビートたけし,2
142,三浦友和,307,藤原竜也,2
1908,沢尻エリカ,4796,小栗旬,2
1908,沢尻エリカ,361,山田孝之,2
1908,沢尻エリカ,5350,伊勢谷友介,2
10743,松原智恵子,29337,川地民夫,2
10743,松原智恵子,29327,小林旭,2
10743,松原智恵子,29365,二谷英明,2
119,竹内結子,1440,西島秀俊,2
119,竹内結子,4797,香川照之,2
119,竹内結子,295,大沢たかお,2
119,竹内結子,411,西田敏行,2
119,竹内結子,16548,草彅剛,2
119,竹内結子,7873,堺雅人,2
10629,武田梨奈,6161,中達也,2
25003,藤野涼子,25004,板垣瑞生,2
25003,藤野涼子,3371,佐々木蔵之介,2
10038,太賀,1190,鶴田真由,2
1817,吉岡秀隆,2043,倍賞千恵子,2
1817,吉岡秀隆,7873,堺雅人,2
2043,倍賞千恵子,28574,笠智衆,2
2043,倍賞千恵子,740,井川比佐志,2
2043,倍賞千恵子,28707,ハナ肇,2
2043,倍賞千恵子,28620,勝呂誉,2
18588,護あさな,26590,あの,2
18588,護あさな,28236,浅川梨奈,2
26590,あの,28236,浅川梨奈,2
1694,板尾創路,5017,鈴木杏,2
1694,板尾創路,19989,壇蜜,2
1694,板尾創路,4079,柄本佑,2
1421,倍賞美津子,350,原田芳雄,2
100,坂本真綾,22455,檀臣幸,2
100,坂本真綾,9349,藤村歩,2
5706,水野美紀,6777,虎牙光揮,2
18923,川口春奈,22043,山崎一,2
10688,黒田育世,6226,長宗我部陽子,2
17744,長谷川博己,5733,三浦春馬,2
32309,竹島由夏,8162,出合正幸,2
2916,韓英恵,5622,片岡礼子,2
12046,中村誠治郎,4355,秋山莉奈,2
1412,田畑智子,5387,妻夫木聡,2
4797,香川照之,84,大塚寧々,2
4797,香川照之,663,生瀬勝久,2
4797,香川照之,934,オダギリジョー,2
4797,香川照之,732,岡田准一,2
4797,香川照之,5344,松田龍平,2
504,池脇千鶴,5387,妻夫木聡,2
23807,小林豊,25746,田中俊介,2
25745,本田剛文,25746,田中俊介,2
339,大泉洋,3881,井上真央,2
339,大泉洋,5344,松田龍平,2
339,大泉洋,385,役所広司,2
339,大泉洋,699,常盤貴子,2
5859,岡田将生,8251,鶴見辰吾,2
1613,堀川りょう,440,中尾隆聖,2
1613,堀川りょう,6516,野沢雅子,2
