Source,Target,Type,Weight,Label
13777,8156,Undirected,1,546
13777,8852,Undirected,1,547
13777,2242,Undirected,1,548
13777,23437,Undirected,1,549
13777,23674,Undirected,1,550
13777,23721,Undirected,1,551
13777,23856,Undirected,1,552
13777,24815,Undirected,1,553
13777,30970,Undirected,1,554
13777,33958,Undirected,1,555
13777,34357,Undirected,1,556
13777,35376,Undirected,1,557
13777,35685,Undirected,1,558
13777,35686,Undirected,1,559
13777,25476,Undirected,1,560
13777,32961,Undirected,1,561
13777,3428,Undirected,2,562
13777,34818,Undirected,1,563
13777,4165,Undirected,1,564
13777,56,Undirected,1,565
13777,27372,Undirected,1,566
13777,31284,Undirected,1,567
13777,6331,Undirected,1,568
13777,9482,Undirected,1,569
13777,29300,Undirected,1,570
13777,13778,Undirected,2,571
13777,20227,Undirected,1,572
13777,27152,Undirected,1,573
13777,27153,Undirected,1,574
13777,28091,Undirected,1,575
13777,28092,Undirected,1,576
13777,28093,Undirected,1,577
13777,21391,Undirected,1,578
13777,2560,Undirected,1,579
13777,2932,Undirected,1,580
13777,5017,Undirected,1,581
13777,603,Undirected,1,582
13777,7996,Undirected,1,583
13777,14092,Undirected,1,584
13777,14093,Undirected,1,585
13777,860,Undirected,1,586
19401,7738,Undirected,1,587
19401,8156,Undirected,1,588
19401,8852,Undirected,1,589
19401,26873,Undirected,1,590
19401,8116,Undirected,1,591
7738,8156,Undirected,1,592
7738,8852,Undirected,1,593
8156,8852,Undirected,1,594
8156,8157,Undirected,1,595
8156,8158,Undirected,1,596
1436,21860,Undirected,1,597
1436,25546,Undirected,1,598
1436,27963,Undirected,1,599
1436,33839,Undirected,1,600
1436,3930,Undirected,1,601
1436,4488,Undirected,1,602
1436,585,Undirected,1,603
1436,84,Undirected,1,604
1436,9616,Undirected,2,605
1436,32555,Undirected,1,606
1436,14806,Undirected,1,607
1436,30229,Undirected,1,608
1436,2412,Undirected,1,609
1436,17978,Undirected,1,610
1436,5387,Undirected,1,611
1436,1544,Undirected,1,612
1436,4760,Undirected,1,613
21860,25546,Undirected,1,614
21860,27963,Undirected,1,615
21860,33839,Undirected,1,616
21860,3930,Undirected,1,617
21860,4488,Undirected,1,618
21860,585,Undirected,1,619
21860,84,Undirected,1,620
21860,9616,Undirected,1,621
25546,27963,Undirected,1,622
25546,33839,Undirected,1,623
25546,3930,Undirected,1,624
25546,4488,Undirected,1,625
25546,585,Undirected,1,626
25546,84,Undirected,1,627
25546,9616,Undirected,1,628
25546,296,Undirected,1,629
25546,37,Undirected,1,630
25546,821,Undirected,1,631
27963,33839,Undirected,1,632
27963,3930,Undirected,1,633
27963,4488,Undirected,1,634
27963,585,Undirected,1,635
27963,84,Undirected,1,636
27963,9616,Undirected,1,637
27963,34633,Undirected,1,638
27963,30397,Undirected,1,639
27963,30503,Undirected,1,640
27963,31589,Undirected,1,641
27963,31618,Undirected,1,642
33839,3930,Undirected,1,643
33839,4488,Undirected,1,644
33839,585,Undirected,1,645
33839,84,Undirected,1,646
33839,9616,Undirected,1,647
3930,4488,Undirected,1,648
3930,585,Undirected,1,649
3930,84,Undirected,1,650
3930,9616,Undirected,1,651
3930,4165,Undirected,2,652
3930,9480,Undirected,1,653
3930,9187,Undirected,2,654
3930,8786,Undirected,1,655
3930,9820,Undirected,1,656
3930,9779,Undirected,1,657
3930,5914,Undirected,1,658
3930,8848,Undirected,1,659
3930,7107,Undirected,1,660
3930,7710,Undirected,1,661
3930,8555,Undirected,1,662
3930,8718,Undirected,1,663
4488,585,Undirected,1,664
4488,84,Undirected,1,665
4488,9616,Undirected,1,666
4488,7612,Undirected,1,667
4488,8633,Undirected,1,668
4488,7933,Undirected,1,669
4488,7934,Undirected,1,670
4488,8134,Undirected,1,671
4488,8710,Undirected,1,672
585,84,Undirected,1,673
585,9616,Undirected,1,674
585,7710,Undirected,1,675
585,7854,Undirected,1,676
585,8558,Undirected,1,677
585,6223,Undirected,1,678
585,6224,Undirected,1,679
585,603,Undirected,1,680
585,604,Undirected,1,681
585,586,Undirected,1,682
84,9616,Undirected,1,683
84,934,Undirected,1,684
84,8709,Undirected,1,685
84,8780,Undirected,1,686
84,8782,Undirected,1,687
84,8783,Undirected,1,688
84,8784,Undirected,1,689
84,8785,Undirected,1,690
84,8786,Undirected,1,691
84,8787,Undirected,1,692
84,85,Undirected,1,693
19035,30382,Undirected,1,694
19035,36102,Undirected,1,695
19035,36103,Undirected,1,696
19035,6172,Undirected,1,697
30382,36102,Undirected,1,698
30382,36103,Undirected,1,699
36102,36103,Undirected,1,700
35246,36094,Undirected,1,701
35246,36095,Undirected,1,702
35246,36096,Undirected,1,703
35246,35247,Undirected,1,704
35246,35248,Undirected,1,705
36094,36095,Undirected,1,706
36094,36096,Undirected,1,707
36095,36096,Undirected,1,708
21421,36089,Undirected,1,709
21421,36090,Undirected,1,710
21421,22043,Undirected,1,711
21421,29531,Undirected,1,712
36089,36090,Undirected,1,713
13976,23834,Undirected,1,714
13976,4796,Undirected,3,715
13976,8115,Undirected,1,716
13976,23509,Undirected,3,717
13976,23720,Undirected,1,718
13976,35102,Undirected,1,719
13976,5258,Undirected,1,720
13976,34066,Undirected,1,721
13976,34691,Undirected,1,722
13976,19472,Undirected,1,723
13976,20168,Undirected,1,724
13976,2560,Undirected,1,725
13976,28235,Undirected,1,726
13976,4079,Undirected,1,727
13976,26572,Undirected,2,728
13976,14662,Undirected,1,729
13976,16955,Undirected,1,730
13976,19295,Undirected,1,731
13976,3743,Undirected,1,732
13976,4263,Undirected,1,733
13976,6437,Undirected,1,734
13976,17646,Undirected,2,735
13976,387,Undirected,2,736
13976,25682,Undirected,1,737
13976,18952,Undirected,2,738
13976,27552,Undirected,1,739
13976,19058,Undirected,1,740
13976,19654,Undirected,1,741
13976,2814,Undirected,2,742
13976,24040,Undirected,1,743
13976,17744,Undirected,2,744
13976,20951,Undirected,1,745
13976,1575,Undirected,1,746
13976,25032,Undirected,2,747
13976,979,Undirected,1,748
13976,26100,Undirected,1,749
13976,3894,Undirected,1,750
13976,4009,Undirected,1,751
13976,4131,Undirected,1,752
13976,25033,Undirected,1,753
13976,21771,Undirected,1,754
13976,2267,Undirected,1,755
13976,20850,Undirected,1,756
13976,361,Undirected,1,757
13976,6963,Undirected,2,758
13976,504,Undirected,1,759
13976,22013,Undirected,1,760
13976,2678,Undirected,1,761
13976,19824,Undirected,1,762
13976,16208,Undirected,1,763
13976,3372,Undirected,1,764
13976,6420,Undirected,1,765
13976,7733,Undirected,1,766
13976,9811,Undirected,1,767
13976,3413,Undirected,1,768
13976,13977,Undirected,1,769
23834,4796,Undirected,1,770
23834,23835,Undirected,1,771
23834,24624,Undirected,1,772
13900,21184,Undirected,1,773
13900,2282,Undirected,1,774
13900,36166,Undirected,1,775
13900,5664,Undirected,1,776
13900,8595,Undirected,1,777
13900,14519,Undirected,1,778
13900,24790,Undirected,1,779
13900,27123,Undirected,1,780
13900,28160,Undirected,1,781
13900,30655,Undirected,1,782
13900,32088,Undirected,1,783
13900,34423,Undirected,1,784
13900,34575,Undirected,1,785
13900,34576,Undirected,1,786
13900,34909,Undirected,1,787
13900,6993,Undirected,1,788
13900,9547,Undirected,1,789
13900,1717,Undirected,1,790
13900,9884,Undirected,1,791
13900,13901,Undirected,1,792
21184,2282,Undirected,2,793
21184,36166,Undirected,1,794
21184,5664,Undirected,1,795
21184,8595,Undirected,1,796
21184,30326,Undirected,1,797
21184,3056,Undirected,1,798
21184,35699,Undirected,1,799
21184,24076,Undirected,1,800
21184,5396,Undirected,1,801
21184,22314,Undirected,1,802
21184,31592,Undirected,1,803
21184,34625,Undirected,1,804
21184,34798,Undirected,1,805
21184,9537,Undirected,1,806
21184,28235,Undirected,1,807
21184,4636,Undirected,1,808
21184,6323,Undirected,1,809
21184,22203,Undirected,1,810
21184,21185,Undirected,1,811
21184,22303,Undirected,1,812
2282,36166,Undirected,1,813
2282,5664,Undirected,1,814
2282,8595,Undirected,1,815
2282,25682,Undirected,1,816
2282,33164,Undirected,1,817
2282,4763,Undirected,1,818
2282,8879,Undirected,1,819
2282,28235,Undirected,1,820
2282,23809,Undirected,1,821
2282,29773,Undirected,1,822
2282,31467,Undirected,1,823
2282,31928,Undirected,1,824
2282,31929,Undirected,1,825
2282,25307,Undirected,1,826
2282,5620,Undirected,3,827
2282,23509,Undirected,2,828
2282,23979,Undirected,1,829
2282,5277,Undirected,1,830
2282,7218,Undirected,1,831
2282,24246,Undirected,1,832
2282,307,Undirected,1,833
2282,3129,Undirected,1,834
2282,944,Undirected,1,835
2282,3003,Undirected,1,836
2282,3397,Undirected,1,837
2282,309,Undirected,1,838
2282,553,Undirected,1,839
2282,5562,Undirected,1,840
2282,933,Undirected,1,841
36166,5664,Undirected,1,842
36166,8595,Undirected,1,843
5664,8595,Undirected,1,844
13040,15639,Undirected,1,845
13040,34066,Undirected,1,846
13040,36085,Undirected,1,847
13040,36086,Undirected,1,848
13040,4131,Undirected,1,849
13040,4864,Undirected,1,850
13040,5176,Undirected,1,851
13040,5714,Undirected,1,852
13040,24076,Undirected,1,853
13040,296,Undirected,1,854
13040,4079,Undirected,1,855
13040,4263,Undirected,1,856
13040,21353,Undirected,1,857
13040,23929,Undirected,1,858
13040,34633,Undirected,1,859
13040,28235,Undirected,1,860
13040,30503,Undirected,1,861
13040,33956,Undirected,1,862
13040,29057,Undirected,1,863
13040,32185,Undirected,1,864
13040,9011,Undirected,1,865
13040,1908,Undirected,1,866
13040,2932,Undirected,1,867
13040,385,Undirected,2,868
13040,2291,Undirected,1,869
13040,8703,Undirected,1,870
13040,2427,Undirected,1,871
13040,13405,Undirected,1,872
13040,13976,Undirected,2,873
13040,27481,Undirected,1,874
13040,27655,Undirected,1,875
13040,29775,Undirected,1,876
13040,5346,Undirected,1,877
13040,8039,Undirected,1,878
13040,944,Undirected,1,879
13040,2840,Undirected,1,880
13040,411,Undirected,2,881
13040,8658,Undirected,1,882
13040,2689,Undirected,1,883
13040,6963,Undirected,2,884
13040,461,Undirected,1,885
13040,24913,Undirected,1,886
13040,17408,Undirected,1,887
13040,71,Undirected,1,888
13040,1813,Undirected,1,889
13040,6752,Undirected,1,890
13040,19253,Undirected,1,891
13040,14467,Undirected,1,892
13040,17759,Undirected,1,893
13040,22486,Undirected,1,894
13040,18746,Undirected,1,895
13040,19405,Undirected,1,896
13040,19824,Undirected,1,897
13040,4636,Undirected,1,898
13040,8725,Undirected,2,899
13040,13188,Undirected,1,900
13040,13189,Undirected,1,901
13040,13190,Undirected,1,902
15639,34066,Undirected,1,903
15639,36085,Undirected,1,904
15639,36086,Undirected,1,905
15639,4131,Undirected,1,906
15639,4864,Undirected,1,907
15639,5176,Undirected,1,908
15639,19045,Undirected,1,909
15639,27950,Undirected,1,910
15639,31946,Undirected,1,911
15639,19301,Undirected,1,912
15639,26317,Undirected,1,913
15639,26106,Undirected,1,914
15639,26310,Undirected,1,915
15639,17836,Undirected,1,916
15639,7406,Undirected,1,917
15639,17010,Undirected,1,918
15639,17011,Undirected,1,919
15639,18142,Undirected,1,920
15639,16313,Undirected,1,921
15639,16314,Undirected,1,922
15639,16315,Undirected,1,923
15639,2653,Undirected,1,924
15639,7104,Undirected,1,925
15639,9555,Undirected,1,926
34066,36085,Undirected,1,927
34066,36086,Undirected,1,928
34066,4131,Undirected,1,929
34066,4864,Undirected,1,930
34066,5176,Undirected,1,931
34066,35707,Undirected,1,932
34066,35752,Undirected,1,933
34066,385,Undirected,1,934
34066,5277,Undirected,1,935
